fips,areaname23,name,msa23,fmr23_2,fmr23,msa22,fmr22_2,fmr22,areaname22,msa21,fmr21_2,fmr21,msa20,fmr20_2,fmr20,msa19,fmr19_2,fmr19,msa18,fmr18_2,fmr18,msa17,fmr17_2,fmr17,msa16,fmr16_2,fmr16,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,state,county
5113599999,"Nottoway County, VA",Nottoway County,NCNTY51135N51135,833,40,NCNTY51135N51135,755,40,"Nottoway County, VA",NCNTY51135N51135,757,40,NCNTY51135N51135,780,40,NCNTY51135N51135,756,40,NCNTY51135N51135,761,40,NCNTY51135N51135,685,40,NCNTY51135N51135,724,40,NCNTY51135N51135,757,40,NCNTY51135N51135,716,40,NCNTY51135N51135,723,40,NCNTY51135N51135,648,40,NCNTY51135N51135,588,40,NCNTY51135N51135,571,40,NCNTY51135N51135,557,40,NCNTY51135N51135,535,40,NCNTY51135N51135,502,40,NCNTY51135N51135,483,40,9999,452,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,135
5113799999,"Orange County, VA",Orange County,NCNTY51137N51137,1054,40,NCNTY51137N51137,936,40,"Orange County, VA",NCNTY51137N51137,903,40,NCNTY51137N51137,894,40,NCNTY51137N51137,861,40,NCNTY51137N51137,844,40,NCNTY51137N51137,767,40,NCNTY51137N51137,789,40,NCNTY51137N51137,843,40,NCNTY51137N51137,827,40,NCNTY51137N51137,918,40,NCNTY51137N51137,780,40,NCNTY51137N51137,721,40,NCNTY51137N51137,700,40,NCNTY51137N51137,684,40,NCNTY51137N51137,657,40,NCNTY51137N51137,617,40,NCNTY51137N51137,593,40,9999,576,40,10000,622,40,10000,622,40,10000,607,40,10000,584,40,10000,580,40,51,137
5113999999,"Page County, VA",Page County,NCNTY51139N51139,800,40,NCNTY51139N51139,725,40,"Page County, VA",NCNTY51139N51139,732,40,NCNTY51139N51139,739,40,NCNTY51139N51139,726,40,NCNTY51139N51139,723,40,NCNTY51139N51139,664,40,NCNTY51139N51139,678,40,NCNTY51139N51139,652,40,NCNTY51139N51139,652,40,NCNTY51139N51139,699,40,NCNTY51139N51139,613,40,NCNTY51139N51139,613,40,NCNTY51139N51139,595,40,NCNTY51139N51139,581,40,NCNTY51139N51139,558,40,NCNTY51139N51139,521,40,NCNTY51139N51139,501,40,9999,487,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,139
5114199999,"Patrick County, VA",Patrick County,NCNTY51141N51141,793,40,NCNTY51141N51141,702,40,"Patrick County, VA",NCNTY51141N51141,701,40,NCNTY51141N51141,714,40,NCNTY51141N51141,700,40,NCNTY51141N51141,684,40,NCNTY51141N51141,633,40,NCNTY51141N51141,658,40,NCNTY51141N51141,643,40,NCNTY51141N51141,617,40,NCNTY51141N51141,626,40,NCNTY51141N51141,541,40,NCNTY51141N51141,588,40,NCNTY51141N51141,571,40,NCNTY51141N51141,557,40,NCNTY51141N51141,535,40,NCNTY51141N51141,502,40,NCNTY51141N51141,483,40,9999,381,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,141
5114399999,"Pittsylvania County-Danville city, VA HUD Nonmetro FMR Area",Pittsylvania County,NCNTY51143N51143,793,40,NCNTY51143N51143,702,40,"Pittsylvania County-Danville city, VA HUD Nonmetro FMR Area",NCNTY51143N51143,701,40,NCNTY51143N51143,714,40,NCNTY51143N51143,700,40,NCNTY51143N51143,684,40,NCNTY51143N51143,633,40,NCNTY51143N51143,684,40,METRO19260M19260,643,40,METRO19260M19260,617,40,METRO19260M19260,626,40,METRO19260M19260,608,40,METRO19260M19260,617,40,METRO19260M19260,598,40,METRO19260M19260,584,40,METRO19260M19260,561,40,METRO19260M19260,523,40,METRO19260M19260,503,40,1950,489,40,1950,466,40,1950,463,40,1950,452,40,1950,438,40,1950,434,40,51,143
5114599999,"Richmond, VA MSA",Powhatan County,METRO40060M40060,1336,40,METRO40060M40060,1189,40,"Richmond, VA MSA",METRO40060M40060,1163,40,METRO40060M40060,1061,40,METRO40060M40060,1067,40,METRO40060M40060,1042,40,METRO40060M40060,1005,40,METRO40060M40060,966,40,METRO40060M40060,993,50,METRO40060M40060,984,50,METRO40060M40060,979,50,METRO40060M40060,878,40,METRO40060M40060,958,50,METRO40060M40060,930,50,METRO40060M40060,925,50,METRO40060M40060,870,50,METRO40060M40060,788,50,METRO40060M40060,757,50,6760,810,50,6760,785,50,6760,780,50,6760,693,50,6760,671,50,6760,625,40,51,145
5114799999,"Prince Edward County, VA",Prince Edward County,NCNTY51147N51147,944,40,NCNTY51147N51147,875,40,"Prince Edward County, VA",NCNTY51147N51147,881,40,NCNTY51147N51147,906,40,NCNTY51147N51147,883,40,NCNTY51147N51147,869,40,NCNTY51147N51147,802,40,NCNTY51147N51147,807,40,NCNTY51147N51147,775,40,NCNTY51147N51147,705,40,NCNTY51147N51147,735,40,NCNTY51147N51147,633,40,NCNTY51147N51147,688,40,NCNTY51147N51147,667,40,NCNTY51147N51147,651,40,NCNTY51147N51147,626,40,NCNTY51147N51147,587,40,NCNTY51147N51147,564,40,9999,548,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,147
5114999999,"Richmond, VA MSA",Prince George County,METRO40060M40060,1336,40,METRO40060M40060,1189,40,"Richmond, VA MSA",METRO40060M40060,1163,40,METRO40060M40060,1061,40,METRO40060M40060,1067,40,METRO40060M40060,1042,40,METRO40060M40060,1005,40,METRO40060M40060,966,40,METRO40060M40060,993,50,METRO40060M40060,984,50,METRO40060M40060,979,50,METRO40060M40060,878,40,METRO40060M40060,958,50,METRO40060M40060,930,50,METRO40060M40060,925,50,METRO40060M40060,870,50,METRO40060M40060,788,50,METRO40060M40060,757,50,6760,810,50,6760,785,50,6760,780,50,6760,693,50,6760,671,50,6760,625,40,51,149
5115399999,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Prince William County,METRO47900M47900,1838,40,METRO47900M47900,1785,40,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,1765,40,METRO47900M47900,1707,40,METRO47900M47900,1665,40,METRO47900M47900,1793,50,METRO47900M47900,1746,50,METRO47900M47900,1623,50,METRO47900M47900,1458,40,METRO47900M47900,1469,40,METRO47900M47900,1412,40,METRO47900M47900,1506,50,METRO47900M47900,1461,50,METRO47900M47900,1494,50,METRO47900M47900,1288,40,METRO47900M47900,1324,50,METRO47900M47900,1286,50,METRO47900M47900,1225,50,8840,1187,50,8840,1218,50,8840,1154,50,8840,943,50,8840,907,50,8840,840,40,51,153
5115599999,"Pulaski County, VA HUD Metro FMR Area",Pulaski County,METRO13980N51155,793,40,METRO13980N51155,702,40,"Pulaski County, VA HUD Metro FMR Area",METRO13980N51155,721,40,METRO13980N51155,721,40,METRO13980N51155,700,40,METRO13980N51155,684,40,METRO13980N51155,637,40,METRO13980N51155,658,40,METRO13980N51155,643,40,METRO13980N51155,617,40,METRO13980N51155,630,40,METRO13980N51155,576,40,METRO13980N51155,588,40,METRO13980N51155,571,40,METRO13980N51155,557,40,METRO13980N51155,535,40,METRO13980N51155,502,40,METRO13980N51155,483,40,9999,439,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,155
