9651840,utility,9651840,2017-05-16,15/438769,15,15438769,2017-02-22,,,,2017,0,0,0,0,0,0,0,0,0
9669821,utility,9669821,2017-06-06,15/402850,15,15402850,2017-01-10,,,,2017,0,0,0,0,0,0,0,0,0
9681402,utility,9681402,2017-06-13,15/434923,15,15434923,2017-02-16,06085,06081,,2017,0,0,0,0,0,0,0,0,0
9681801,utility,9681801,2017-06-20,15/402193,15,15402193,2017-01-09,45063,,,2017,0,0,0,0,0,0,0,0,0
9683360,utility,9683360,2017-06-20,15/441151,15,15441151,2017-02-23,12086,,,2017,0,0,0,0,0,0,0,0,0
9688849,utility,9688849,2017-06-27,15/453237,15,15453237,2017-03-08,41067,41067,,2017,0,0,0,0,0,0,0,0,0
9693075,utility,9693075,2017-06-27,15/422679,15,15422679,2017-02-02,,,,2017,1,0,0,0,0,0,1,0,0
9693945,utility,9693945,2017-07-04,15/449929,15,15449929,2017-03-04,48113,,,2017,0,0,0,0,0,0,0,0,0
9697438,utility,9697438,2017-07-04,15/434984,15,15434984,2017-02-16,,,,2017,1,0,0,0,0,1,0,0,0
9699583,utility,9699583,2017-07-04,15/429131,15,15429131,2017-02-09,,,,2017,0,0,0,0,0,0,0,0,0
9700449,utility,9700449,2017-07-11,15/406448,15,15406448,2017-01-13,04013,06065,,2017,0,0,0,0,0,0,0,0,0
9700449,utility,9700449,2017-07-11,15/406448,15,15406448,2017-01-13,06065,06065,,2017,0,0,0,0,0,0,0,0,0
9703693,utility,9703693,2017-07-11,15/453826,15,15453826,2017-03-08,25023,25025,,2017,1,0,0,0,0,0,1,0,1
9703693,utility,9703693,2017-07-11,15/453826,15,15453826,2017-03-08,36047,25025,,2017,1,0,0,0,0,0,1,0,1
9703693,utility,9703693,2017-07-11,15/453826,15,15453826,2017-03-08,,25025,,2017,1,0,0,0,0,0,1,0,1
9703821,utility,9703821,2017-07-11,15/399858,15,15399858,2017-01-06,,36119,,2017,0,0,0,0,0,0,0,0,0
9712544,utility,9712544,2017-07-18,15/434342,15,15434342,2017-02-16,06085,06085,,2017,0,0,0,0,0,0,0,0,0
9713889,utility,9713889,2017-07-25,15/399727,15,15399727,2017-01-05,,,,2017,0,0,0,0,0,0,0,0,0
9714097,utility,9714097,2017-07-25,15/469732,15,15469732,2017-03-27,,,,2017,0,0,0,0,0,0,0,0,0
9715805,utility,9715805,2017-07-25,15/475414,15,15475414,2017-03-31,,,,2017,0,0,0,0,0,0,0,0,0
9716332,utility,9716332,2017-07-25,15/415093,15,15415093,2017-01-25,,,,2017,0,0,0,0,0,0,0,0,0
