9982479,utility,9982479,2018-05-29,15/876204,15,15876204,2018-01-22,12081,,,2018,0,0,0,0,0,0,0,0,0
9982479,utility,9982479,2018-05-29,15/876204,15,15876204,2018-01-22,27163,,,2018,0,0,0,0,0,0,0,0,0
9994502,utility,9994502,2018-06-12,15/883581,15,15883581,2018-01-30,36029,34027,,2018,0,0,0,0,0,0,0,0,0
10000576,utility,10000576,2018-06-19,15/863464,15,15863464,2018-01-05,,,,2018,0,0,0,0,0,0,0,0,0
10008330,utility,10008330,2018-06-26,15/862668,15,15862668,2018-01-05,,,,2018,0,0,0,0,0,0,0,0,0
10010507,utility,10010507,2018-07-03,15/909779,15,15909779,2018-03-01,06075,06085,,2018,0,0,0,0,0,0,0,0,0
10010507,utility,10010507,2018-07-03,15/909779,15,15909779,2018-03-01,06001,06085,,2018,0,0,0,0,0,0,0,0,0
10010507,utility,10010507,2018-07-03,15/909779,15,15909779,2018-03-01,06085,06085,,2018,0,0,0,0,0,0,0,0,0
10013943,utility,10013943,2018-07-03,15/860646,15,15860646,2018-01-02,,,,2018,0,0,0,0,0,0,0,0,0
10015360,utility,10015360,2018-07-03,15/948260,15,15948260,2018-04-09,06001,06059,,2018,1,0,0,0,0,1,1,1,0
10015360,utility,10015360,2018-07-03,15/948260,15,15948260,2018-04-09,38035,06059,,2018,1,0,0,0,0,1,1,1,0
10015360,utility,10015360,2018-07-03,15/948260,15,15948260,2018-04-09,06075,06059,,2018,1,0,0,0,0,1,1,1,0
10015360,utility,10015360,2018-07-03,15/948260,15,15948260,2018-04-09,38097,06059,,2018,1,0,0,0,0,1,1,1,0
10017246,utility,10017246,2018-07-10,15/917460,15,15917460,2018-03-09,06085,06085,,2018,0,0,0,0,0,0,0,0,0
10017246,utility,10017246,2018-07-10,15/917460,15,15917460,2018-03-09,06081,06085,,2018,0,0,0,0,0,0,0,0,0
10017436,utility,10017436,2018-07-10,15/935085,15,15935085,2018-03-26,,,,2018,0,0,0,0,0,0,0,0,0
10020394,utility,10020394,2018-07-10,15/883056,15,15883056,2018-01-29,,,,2018,0,0,0,0,0,0,0,0,0
10020673,utility,10020673,2018-07-10,15/886664,15,15886664,2018-02-01,,,,2018,0,0,0,0,0,0,0,0,0
10025753,utility,10025753,2018-07-17,15/890013,15,15890013,2018-02-06,37183,37183,,2018,1,1,0,0,0,1,1,1,1
10028376,utility,10028376,2018-07-17,15/862010,15,15862010,2018-01-04,,,,2018,0,0,0,0,0,0,0,0,0
10037633,utility,10037633,2018-07-31,15/884246,15,15884246,2018-01-30,,,,2018,0,0,0,0,0,0,0,0,0
10037633,utility,10037633,2018-07-31,15/884246,15,15884246,2018-01-30,48453,,,2018,0,0,0,0,0,0,0,0,0
10038040,utility,10038040,2018-07-31,15/883354,15,15883354,2018-01-30,,,,2018,0,0,0,0,0,0,0,0,0
10040662,utility,10040662,2018-08-07,15/874219,15,15874219,2018-01-18,,,,2018,0,0,0,0,0,0,0,0,0
10041761,utility,10041761,2018-08-07,15/898397,15,15898397,2018-02-16,48453,48453,,2018,0,0,0,0,0,0,0,0,0
10041761,utility,10041761,2018-08-07,15/898397,15,15898397,2018-02-16,08119,48453,,2018,0,0,0,0,0,0,0,0,0
10041761,utility,10041761,2018-08-07,15/898397,15,15898397,2018-02-16,48209,48453,,2018,0,0,0,0,0,0,0,0,0
10043341,utility,10043341,2018-08-07,15/928364,15,15928364,2018-03-22,36119,36119,,2018,0,0,0,0,0,0,0,0,0
10044584,utility,10044584,2018-08-07,15/874006,15,15874006,2018-01-18,,36119,,2018,1,0,0,0,0,0,1,1,0
10047071,utility,10047071,2018-08-14,15/871927,15,15871927,2018-01-15,,,,2018,0,0,0,0,0,0,0,0,0
10048174,utility,10048174,2018-08-14,15/884601,15,15884601,2018-01-31,06085,,,2018,0,0,0,0,0,0,0,0,0
10050387,utility,10050387,2018-08-14,15/869636,15,15869636,2018-01-12,,,,2018,0,0,0,0,0,0,0,0,0
10052942,utility,10052942,2018-08-21,15/866980,15,15866980,2018-01-10,,,,2018,0,0,0,0,0,0,0,0,0
10053977,utility,10053977,2018-08-21,15/874634,15,15874634,2018-01-18,48113,48113,,2018,0,0,0,0,0,0,0,0,0
10054610,utility,10054610,2018-08-21,15/894266,15,15894266,2018-02-12,06085,06085,,2018,1,0,0,0,0,0,1,0,0
10054610,utility,10054610,2018-08-21,15/894266,15,15894266,2018-02-12,06081,06085,,2018,1,0,0,0,0,0,1,0,0
10058334,utility,10058334,2018-08-28,15/952555,15,15952555,2018-04-13,,,,2018,0,0,0,0,0,0,0,0,0
10059749,utility,10059749,2018-08-28,15/920924,15,15920924,2018-03-14,,,,2018,0,0,0,0,0,0,0,0,0
10062265,utility,10062265,2018-08-28,15/864752,15,15864752,2018-01-08,06081,06085,,2018,0,0,0,0,0,0,0,0,0
10062265,utility,10062265,2018-08-28,15/864752,15,15864752,2018-01-08,06085,06085,,2018,0,0,0,0,0,0,0,0,0
10062281,utility,10062281,2018-08-28,15/958659,15,15958659,2018-04-20,06073,06073,,2018,1,0,0,0,0,0,1,1,0
10062281,utility,10062281,2018-08-28,15/958659,15,15958659,2018-04-20,,06073,,2018,1,0,0,0,0,0,1,1,0
10062810,utility,10062810,2018-08-28,15/860599,15,15860599,2018-01-02,,,,2018,0,0,0,0,0,0,0,0,0
10065415,utility,10065415,2018-09-04,15/877448,15,15877448,2018-01-23,,,,2018,0,0,0,0,0,0,0,0,0
10065561,utility,10065561,2018-09-04,15/873792,15,15873792,2018-01-17,26125,09001,,2018,0,0,0,0,0,0,0,0,0
10066290,utility,10066290,2018-09-04,15/969958,15,15969958,2018-05-03,,,,2018,0,0,0,0,0,0,0,0,0
10067533,utility,10067533,2018-09-04,15/937191,15,15937191,2018-03-27,,,,2018,0,0,0,0,0,0,0,0,0
10068099,utility,10068099,2018-09-04,15/876016,15,15876016,2018-01-19,51540,51059,,2018,0,0,0,0,0,0,0,0,0
10068099,utility,10068099,2018-09-04,15/876016,15,15876016,2018-01-19,,51059,,2018,0,0,0,0,0,0,0,0,0
10068099,utility,10068099,2018-09-04,15/876016,15,15876016,2018-01-19,51059,51059,,2018,0,0,0,0,0,0,0,0,0
10068605,utility,10068605,2018-09-04,15/944822,15,15944822,2018-04-04,,,,2018,0,0,0,0,0,0,0,0,0
10068609,utility,10068609,2018-09-04,15/902821,15,15902821,2018-02-22,06085,,,2018,0,0,0,0,0,0,0,0,0
