1805,36021,36021,NY,COLUMBIA,2,6,6,23.8,135,73.1,62,15,1.93,5.264,-0.74955,-0.49703,-0.0406,-0.41119,0.92868,0.43546,-0.33,3
1806,36023,36023,NY,CORTLAND,2,4,5,21.8,110,69.3,66,15,0.37,3.619,-0.915,-1.24976,0.80888,-0.68502,0.92868,-0.43557,-1.55,3
1807,36025,36025,NY,DELAWARE,2,6,6,22.3,110,68.1,66,20,1.48,4.995,-0.87364,-1.24976,1.1746,-0.68502,1.68702,0.29278,0.35,4
1808,36027,36027,NY,DUTCHESS,2,2,2,26.5,135,74.6,62,15,2.88,5.663,-0.52619,-0.49703,-0.21137,-0.41119,0.92868,0.64677,-0.07,3
1809,36029,36029,NY,ERIE,2,0,1,23.7,109,70.1,61,5,14.86,7.304,-0.75783,-1.27987,0.75742,-0.34273,-0.588,1.51511,-0.7,3
1810,36031,36031,NY,ESSEX,2,6,6,16.8,126,69.8,64,16,6.24,6.437,-1.32863,-0.76802,0.24378,-0.5481,1.08035,1.05616,-0.26,3
1811,36033,36033,NY,FRANKLIN,2,7,8,16.5,101,67.5,63,16,3.88,5.962,-1.35345,-1.52074,0.83637,-0.47965,1.08035,0.8049,-0.63,3
1812,36035,36035,NY,FULTON,2,4,5,20.8,102,70.0,63,16,6.9,6.536,-0.99773,-1.49063,0.53453,-0.47965,1.08035,1.10892,-0.24,3
1813,36037,36037,NY,GENESEE,2,1,1,23.5,109,69.7,61,4,0.25,3.212,-0.77437,-1.27987,0.84775,-0.34273,-0.73966,-0.65076,-2.94,2
1814,36039,36039,NY,GREENE,2,6,6,23.8,135,73.1,62,20,1.57,5.057,-0.74955,-0.49703,-0.0406,-0.41119,1.68702,0.32578,0.31,4
1815,36041,36041,NY,HAMILTON,2,8,6,14.6,102,63.6,63,16,4.82,6.179,-1.51063,-1.49063,1.72135,-0.47965,1.08035,0.91963,0.24,4
1816,36043,36043,NY,HERKIMER,2,2,2,19.5,102,69.3,63,10,3.2,5.767,-1.10527,-1.49063,0.61078,-0.47965,0.17034,0.7018,-1.59,3
1817,36045,36045,NY,JEFFERSON,2,5,7,18.8,109,70.5,61,6,31.5,8.055,-1.16318,-1.27987,0.22783,-0.34273,-0.43633,1.72184,-1.27,3
1818,36047,36047,NY,KINGS,2,0,1,32.2,151,76.6,63,1,27.19,7.908,-0.05466,-0.01529,-0.25818,-0.47965,-1.19466,1.83503,-0.17,3
1819,36049,36049,NY,LEWIS,2,6,6,17.7,102,68.3,63,6,1.12,4.716,-1.25418,-1.49063,0.72462,-0.47965,-0.43633,0.14527,-2.79,2
1820,36051,36051,NY,LIVINGSTON,2,1,1,23.8,102,70.5,63,15,1.3,4.867,-0.74955,-1.49063,0.65848,-0.47965,0.92868,0.22515,-0.91,3
1821,36053,36053,NY,MADISON,2,2,2,18.8,110,66.8,66,15,0.86,4.454,-1.16318,-1.24976,1.22268,-0.68502,0.92868,0.00689,-0.94,3
1822,36055,36055,NY,MONROE,2,0,1,24.0,109,71.2,61,4,51.73,8.551,-0.73301,-1.27987,0.48749,-0.34273,-0.73966,1.85309,-0.75,3
1823,36057,36057,NY,MONTGOMERY,2,2,2,20.8,102,70.0,63,6,1.35,4.902,-0.99773,-1.49063,0.53453,-0.47965,-0.43633,0.24364,-2.63,2
1824,36059,36059,NY,NASSAU,2,0,1,31.8,151,75.2,63,4,36.74,8.209,-0.08775,-0.01529,0.0838,-0.47965,-0.73966,1.99435,0.76,4
1825,36061,36061,NY,NEW YORK,2,0,1,32.2,151,76.6,63,2,15.74,7.361,-0.05466,-0.01529,-0.25818,-0.47965,-1.043,1.54552,-0.31,3
1826,36063,36063,NY,NIAGARA,2,0,1,24.1,109,70.7,61,4,54.12,8.596,-0.72474,-1.27987,0.63055,-0.34273,-0.73966,1.94016,-0.52,3
1827,36065,36065,NY,ONEIDA,2,2,2,17.0,102,65.9,63,6,3.53,5.867,-1.31209,-1.49063,1.30964,-0.47965,-0.43633,0.75471,-1.65,3
1828,36067,36067,NY,ONONDAGA,2,2,2,23.6,102,71.5,63,5,3.15,5.754,-0.7661,-1.49063,0.37238,-0.47965,-0.588,0.69466,-2.26,2
1829,36069,36069,NY,ONTARIO,2,1,1,24.3,102,71.4,63,15,2.72,5.608,-0.70819,-1.49063,0.45956,-0.47965,0.92868,0.61726,-0.67,3
1830,36071,36071,NY,ORANGE,2,2,2,27.0,135,74.7,62,16,2.65,5.579,-0.48483,-0.49703,-0.19519,-0.41119,1.08035,0.60201,0.09,4
1831,36073,36073,NY,ORLEANS,2,1,1,24.0,109,71.2,61,4,52.12,8.559,-0.73301,-1.27987,0.48749,-0.34273,-0.73966,2.02785,-0.58,3
1832,36075,36075,NY,OSWEGO,2,2,2,24.1,109,70.2,61,6,27.35,7.914,-0.72474,-1.27987,0.76499,-0.34273,-0.43633,1.78794,-0.23,3
1833,36077,36077,NY,OTSEGO,2,6,5,21.3,110,68.4,66,15,1.21,4.798,-0.95637,-1.24976,1.0078,-0.68502,0.92868,0.18868,-0.77,3
1834,36079,36079,NY,PUTNAM,2,1,1,27.0,135,74.7,62,15,5.98,6.394,-0.48483,-0.49703,-0.19519,-0.41119,0.92868,1.03347,0.37,4
1835,36081,36081,NY,QUEENS,2,0,1,32.2,151,76.6,63,1,38.31,8.251,-0.05466,-0.01529,-0.25818,-0.47965,-1.19466,2.01655,0.01,3
1836,36083,36083,NY,RENSSELAER,2,2,2,21.5,135,72.0,62,15,1.72,5.146,-0.93982,-0.49703,0.05706,-0.41119,0.92868,0.37301,-0.49,3
1837,36085,36085,NY,RICHMOND,2,0,1,32.2,151,76.6,63,2,42.89,8.364,-0.05466,-0.01529,-0.25818,-0.47965,-1.043,2.07623,0.23,4
1838,36087,36087,NY,ROCKLAND,2,0,1,27.0,135,74.7,62,15,12.61,7.139,-0.48483,-0.49703,-0.19519,-0.41119,0.92868,1.42809,0.77,4
1839,36089,36089,NY,ST. LAWRENCE,2,5,7,16.3,101,69.9,63,10,4.82,6.177,-1.36999,-1.52074,0.17383,-0.47965,0.17034,0.91877,-2.11,3
1840,36091,36091,NY,SARATOGA,2,2,2,20.4,135,71.2,62,16,3.78,5.934,-1.03082,-0.49703,0.17742,-0.41119,1.08035,0.79014,0.11,4
1841,36093,36093,NY,SCHENECTADY,2,2,2,21.8,135,72.9,62,6,1.68,5.123,-0.915,-0.49703,-0.15909,-0.41119,-0.43633,0.361,-2.06,3
