9358304,utility,9358304,2016-06-07,15/005993,15,15005993,2016-01-25,,06081,,2016,0,0,0,0,0,0,0,0,0
9358304,utility,9358304,2016-06-07,15/005993,15,15005993,2016-01-25,06037,06081,,2016,0,0,0,0,0,0,0,0,0
9358304,utility,9358304,2016-06-07,15/005993,15,15005993,2016-01-25,06081,06081,,2016,0,0,0,0,0,0,0,0,0
9358304,utility,9358304,2016-06-07,15/005993,15,15005993,2016-01-25,06001,06081,,2016,0,0,0,0,0,0,0,0,0
9358304,utility,9358304,2016-06-07,15/005993,15,15005993,2016-01-25,06075,06081,,2016,0,0,0,0,0,0,0,0,0
9361223,utility,9361223,2016-06-07,15/051344,15,15051344,2016-02-23,,,,2016,1,0,0,1,0,0,1,0,1
9368093,utility,9368093,2016-06-14,14/992715,14,14992715,2016-01-11,04013,,,2016,0,0,0,0,0,0,0,0,0
9373045,utility,9373045,2016-06-21,15/002775,15,15002775,2016-01-21,06075,06085,,2016,0,0,0,0,0,0,0,0,0
9373045,utility,9373045,2016-06-21,15/002775,15,15002775,2016-01-21,06085,06085,,2016,0,0,0,0,0,0,0,0,0
9374254,utility,9374254,2016-06-21,15/016951,15,15016951,2016-02-05,,,,2016,0,0,0,0,0,0,0,0,0
9379067,utility,9379067,2016-06-28,14/996889,14,14996889,2016-01-15,,,,2016,0,0,0,0,0,0,0,0,0
9381276,utility,9381276,2016-07-05,15/070073,15,15070073,2016-03-15,06085,06085,,2016,0,0,0,0,0,0,0,0,0
9381276,utility,9381276,2016-07-05,15/070073,15,15070073,2016-03-15,06081,06081,,2016,0,0,0,0,0,0,0,0,0
9381276,utility,9381276,2016-07-05,15/070073,15,15070073,2016-03-15,06085,06081,,2016,0,0,0,0,0,0,0,0,0
9381276,utility,9381276,2016-07-05,15/070073,15,15070073,2016-03-15,06081,06085,,2016,0,0,0,0,0,0,0,0,0
9386092,utility,9386092,2016-07-05,14/993688,14,14993688,2016-01-12,36055,36119,,2016,0,0,0,0,0,0,0,0,0
9386092,utility,9386092,2016-07-05,14/993688,14,14993688,2016-01-12,,36119,,2016,0,0,0,0,0,0,0,0,0
9397227,utility,9397227,2016-07-19,14/993821,14,14993821,2016-01-12,53011,53011,,2016,0,0,0,0,0,0,0,0,0
9400331,utility,9400331,2016-07-26,15/045079,15,15045079,2016-02-16,33009,33009,,2016,0,0,0,0,0,0,0,0,0
9400331,utility,9400331,2016-07-26,15/045079,15,15045079,2016-02-16,06081,33009,,2016,0,0,0,0,0,0,0,0,0
9400749,utility,9400749,2016-07-26,15/009275,15,15009275,2016-01-28,,06037,,2016,0,0,0,0,0,0,0,0,0
9400749,utility,9400749,2016-07-26,15/009275,15,15009275,2016-01-28,06037,06037,,2016,0,0,0,0,0,0,0,0,0
9403573,utility,9403573,2016-08-02,15/043364,15,15043364,2016-02-12,06029,,,2016,0,0,0,0,0,0,0,0,0
9403790,utility,9403790,2016-08-02,15/006220,15,15006220,2016-01-26,34025,34039,,2016,0,0,0,0,0,0,0,0,0
9403790,utility,9403790,2016-08-02,15/006220,15,15006220,2016-01-26,,34039,,2016,0,0,0,0,0,0,0,0,0
9405232,utility,9405232,2016-08-02,14/994550,14,14994550,2016-01-13,,,,2016,0,0,0,0,0,0,0,0,0
9405817,utility,9405817,2016-08-02,15/007463,15,15007463,2016-01-27,06085,36119,,2016,0,0,0,0,0,0,0,0,0
9413101,utility,9413101,2016-08-09,15/137131,15,15137131,2016-04-25,,17197,,2016,0,0,0,0,0,0,0,0,0
9413287,utility,9413287,2016-08-09,14/989039,14,14989039,2016-01-06,,39173,,2016,0,0,0,0,0,0,0,0,0
9413711,utility,9413711,2016-08-09,15/061351,15,15061351,2016-03-04,17031,17031,,2016,1,0,0,0,0,0,0,1,0
9414603,utility,9414603,2016-08-16,14/990136,14,14990136,2016-01-07,34027,,,2016,0,0,0,0,0,0,0,0,0
9416180,utility,9416180,2016-08-16,15/138912,15,15138912,2016-04-26,,,,2016,0,0,0,0,0,0,0,0,0
9418226,utility,9418226,2016-08-16,15/017645,15,15017645,2016-02-07,12101,,,2016,1,0,0,0,0,0,1,1,0
9418375,utility,9418375,2016-08-16,15/010646,15,15010646,2016-01-29,,36119,,2016,1,0,0,0,0,1,1,1,0
9418375,utility,9418375,2016-08-16,15/010646,15,15010646,2016-01-29,37183,36119,,2016,1,0,0,0,0,1,1,1,0
9418729,utility,9418729,2016-08-16,15/007894,15,15007894,2016-01-27,,,,2016,0,0,0,0,0,0,0,0,0
9418992,utility,9418992,2016-08-16,15/063310,15,15063310,2016-03-07,,,,2016,0,0,0,0,0,0,0,0,0
9419839,utility,9419839,2016-08-16,15/044432,15,15044432,2016-02-16,,36061,,2016,0,0,0,0,0,0,0,0,0
9420562,utility,9420562,2016-08-16,15/052327,15,15052327,2016-02-24,18141,36119,,2016,0,0,0,0,0,0,0,0,0
9420562,utility,9420562,2016-08-16,15/052327,15,15052327,2016-02-24,,36119,,2016,0,0,0,0,0,0,0,0,0
9424458,utility,9424458,2016-08-23,14/988833,14,14988833,2016-01-06,,,,2016,1,0,0,0,0,1,1,0,0
9425302,utility,9425302,2016-08-23,15/002326,15,15002326,2016-01-20,,,,2016,0,0,0,0,0,0,0,0,0
9426225,utility,9426225,2016-08-23,15/071120,15,15071120,2016-03-15,06067,,,2016,1,0,0,0,0,0,0,1,0
9426225,utility,9426225,2016-08-23,15/071120,15,15071120,2016-03-15,06085,,,2016,1,0,0,0,0,0,0,1,0
9428215,utility,9428215,2016-08-30,15/081455,15,15081455,2016-03-25,,,,2016,0,0,0,0,0,0,0,0,0
9428685,utility,9428685,2016-08-30,14/997667,14,14997667,2016-01-18,34017,34013,,2016,0,0,0,0,0,0,0,0,0
9428685,utility,9428685,2016-08-30,14/997667,14,14997667,2016-01-18,34027,34013,,2016,0,0,0,0,0,0,0,0,0
9428685,utility,9428685,2016-08-30,14/997667,14,14997667,2016-01-18,34039,34013,,2016,0,0,0,0,0,0,0,0,0
9429785,utility,9429785,2016-08-30,15/088023,15,15088023,2016-03-31,,,,2016,0,0,0,0,0,0,0,0,0
9433822,utility,9433822,2016-09-06,15/077567,15,15077567,2016-03-22,26165,26165,,2016,,,,,,,,,
9433848,utility,9433848,2016-09-06,15/069470,15,15069470,2016-03-14,,,,2016,0,0,0,0,0,0,0,0,0
9434066,utility,9434066,2016-09-06,15/006550,15,15006550,2016-01-26,04013,,,2016,0,0,0,0,0,0,0,0,0
9436142,utility,9436142,2016-09-06,15/013104,15,15013104,2016-02-02,,,,2016,0,0,0,0,0,0,0,0,0
9437244,utility,9437244,2016-09-06,15/003866,15,15003866,2016-01-22,,,,2016,0,0,0,0,0,0,0,0,0
9437547,utility,9437547,2016-09-06,15/063526,15,15063526,2016-03-08,,,,2016,0,0,0,0,0,0,0,0,0
9439197,utility,9439197,2016-09-06,15/085573,15,15085573,2016-03-30,06001,06085,,2016,0,0,0,0,0,0,0,0,0
9439197,utility,9439197,2016-09-06,15/085573,15,15085573,2016-03-30,50027,06085,,2016,0,0,0,0,0,0,0,0,0
9439197,utility,9439197,2016-09-06,15/085573,15,15085573,2016-03-30,53033,06085,,2016,0,0,0,0,0,0,0,0,0
