iloc_county_fips,EMA_aipat_9yr_2011,EMA_pat_9yr_2011,EMA_aipat_9yr_2019,EMA_pat_9yr_2019,bach_pct_2011,Individuals,burd_weight,med_home_val_2011,pct_chg_mhv,fmr_2011,pct_chg_fmr,EMA_unemp_9yr_2011,chg_EMA_unemp_9yr,NatAmenScale,EMA_ppk_chg,EMA_aippk_chg,hh_agi,org_EMA_aipat_9yr_2011,org_EMA_pat_9yr_2011,org_EMA_aipat_9yr_2019,org_EMA_pat_9yr_2019,org_bach_pct_2011,org_Individuals,org_burd_weight,org_med_home_val_2011,org_pct_chg_mhv,org_fmr_2011,org_pct_chg_fmr,org_EMA_unemp_9yr_2011,org_chg_EMA_unemp_9yr,org_NatAmenScale,org_EMA_ppk_chg,org_EMA_aippk_chg,net_pop_chg_domestic_indivs,ai_activity_class
45003,1.6607865591431215,0.1427105858055319,1.601444458527303,0.20574442852983782,0.15748728294367365,27047.25,0.04417100446837399,122300.0,0.1429098149104049,629.0,0.32909379968203495,7.73210570175784,-2.7363541866861247,-0.04,0.06303384272430593,-0.05934210061581835,42163.76638855781,76.82030564898909,0.3466506780022528,159.80263912323304,0.5444579810007413,0.18199300043951952,197189.97821067824,0.045869459897492776,190167.27272727274,0.4815250133727286,875.2727272727273,0.23597054470568402,8.12323315203763,-2.779139738387245,1.4674074074074073,0.2193402362684994,92.19678700612165,-0.021074231206499736,1
45007,1.5704499530968943,0.26822621591597756,4.36285408857644,0.5027214306922692,0.12092899659863945,27133.694444444445,0.045848345397828796,120500.0,0.2700723638869747,629.0,0.21621621621621623,9.18510550393797,-4.138870473450645,0.71,0.2344952147762916,2.7924041354795457,41316.961362148,58.95093199482974,0.29122936377718167,128.5006995745736,0.4523249807298591,0.17385620457980763,173667.62740949547,0.047641047892238574,180607.14285714287,0.4231630047763438,833.1785714285714,0.24337456207725053,8.166147709590332,-2.768367929516487,1.3310909090909093,0.16210604634704417,70.83739887853488,0.073414256362272,1
45009,0.0,0.1100077249240693,0.22405804992033426,0.10068680919898611,0.11765077759514476,890.1388888888889,0.04417053383223331,77400.0,0.28124798015701236,567.0,0.30687830687830686,12.980929868095002,-3.9575017298042905,-0.75,-0.009320915725083187,0.22405804992033426,27821.161048689137,29.214687871911007,0.19574150780894642,69.35614492332898,0.3410171442491236,0.16457915321049463,95708.57291666667,0.042810149980570665,149512.5,0.3308727796568214,749.25,0.24619072270473297,8.695186131181732,-3.0241828426832553,0.2342857142857143,0.14527563644017719,40.14145705141798,-0.623498205648307,0
45013,2.5105844287899974,0.11886333804638993,2.700658386902637,0.13178606996755984,0.24943913382754584,39515.25,0.052485355020278096,288800.0,0.2973908842003542,908.0,0.2577092511013216,6.985170950704737,-2.3771270856986026,1.66,0.012922731921169911,0.19007395811263939,92699.82689403705,61.958887261527224,0.4445414834575311,126.88247976737067,0.6951221358992457,0.2036721362227476,179034.4358721389,0.05511916623052443,234707.73480662983,0.3676191195901316,962.3204419889503,0.20406665811857616,7.235430671251481,-2.07648627351671,0.7810555555555556,0.2505806524417145,64.92359250584343,0.27394486938587004,1
45015,0.4231957868899461,0.051342389001840266,2.0471724413685237,0.09156263275430322,0.11692367965697743,31872.86111111111,0.04761788924788142,150600.0,0.47440599585393056,836.0,0.3373205741626794,7.920314612717651,-3.1780208399470844,0.71,0.040220243752462956,1.6239766544785776,56993.244434001055,70.25469527986822,0.3631579086768533,145.08794026574634,0.5587748896943301,0.19235045978104606,208984.98812858475,0.05192319154152287,224994.95798319328,0.4035853336941264,942.0084033613446,0.22254723268477855,7.580591649477708,-2.329906569385419,1.511779661016949,0.2042635693929338,77.31244326870474,-0.04034780547365706,1
45019,2.316351616631504,0.13560851105475197,10.523212376596534,0.24561627077342532,0.2442665845774973,89885.27777777778,0.05420952915091842,242000.0,0.5681769070085715,836.0,0.3373205741626794,7.0386505077428705,-2.8403666666836322,1.45,0.11000775971867335,8.20686075996503,82033.54799822347,62.48791801479679,0.4509355602408123,134.9937667114135,0.691442505237519,0.20050346568135766,145993.09587334134,0.05260506269924176,225627.69784172662,0.36113529416904566,930.7482014388489,0.2134546783526005,7.250815042209275,-2.1999994397471787,0.9356678700361011,0.255306727888057,75.76822946346931,0.3331246310883935,1
45021,0.0,0.038954925019743514,0.0,0.03461329493944272,0.07523561619244233,4099.583333333334,0.03759718059153403,82300.0,0.24206764295676436,568.0,0.23591549295774647,12.10348762715816,-5.564160098745755,-0.31,-0.004341630080300793,0.0,32484.50184501845,5.658686760221051,0.21735229447686658,23.54897080374302,0.3969729919761405,0.15038892477603238,53358.916666666664,0.04895308756105121,132633.33333333334,0.3153950392991729,707.4166666666666,0.21018529795881144,9.72384328767109,-4.03909257737926,0.8016666666666667,0.17962069749927392,17.89028404352197,0.08927736558593352,0
45023,0.0,0.0601456258825889,0.0,0.0768849674392047,0.07532767691512332,2283.583333333333,0.04043252612877535,84300.0,0.25156307465980143,585.0,0.19658119658119658,14.998995780803059,-6.961997021639412,-0.04,0.0167393415566158,0.0,30432.642487046633,3.1965173040342556,0.12130643698235762,3.9897263202859574,0.1666437213445172,0.1467386087691762,29649.631944444445,0.04660803481379324,113875.0,0.1711216397547497,699.0,0.27138596328816156,10.147392320503076,-4.123731863976978,0.355,0.07976749333318316,2.0578127249745672,-0.1462613582454476,0
45025,0.0,0.05626756844749196,0.10711078201126252,0.08034935044585512,0.0792060044302028,2850.535714285714,0.037445556902951475,77200.0,0.1296920115495667,567.0,0.21340388007054673,11.977110196742343,-6.050486646153726,-0.38,0.02408178199836316,0.10711078201126252,30817.102137767222,5.016902694770708,0.1382203921802754,23.120519808610876,0.2615225230880159,0.13657783300018345,44276.243055555555,0.04822524751025558,126816.66666666667,0.2557958968297631,676.4166666666666,0.23632681783606643,10.238413966529386,-4.149599900667186,0.30583333333333335,0.1291546915622152,19.90773386151823,-0.05332331015473282,0
45029,0.0,0.027853966419359475,0.6030743637688746,0.07080194086702882,0.0969596088324794,2708.5555555555557,0.046779601077146044,92600.0,0.14792292475639232,567.0,0.31216931216931215,10.66173739988214,-4.461935670821758,0.67,0.042947974447669346,0.6030743637688746,37775.982767905225,2.2815569499128907,0.1224409655597726,7.151616579269568,0.20253355602924294,0.1649011633421676,37849.795454545456,0.04928599099990136,158481.81818181818,0.3311302827646231,753.5454545454545,0.3019732526849484,8.578549018972849,-3.1245206887853345,0.5963636363636363,0.09363471412589744,5.585221287283634,-0.18349263650162037,0
